step,timestamp,hour,price,action,act_type,soc_before,new_soc,grid_mwh,cash,spread,degradation,is_spike
2676,2025-10-10 10:10:00,10,29.51,-0.030292846262454987,hold,0.05865086242556572,0.05799289420247078,0.06311009638011456,1.8623789441771805,0.3344835108146072,0.06311009638011456,False
2677,2025-10-10 10:15:00,10,29.05,-0.0703195333480835,discharge,0.05799289420247078,0.05646553635597229,0.14649902780850727,4.255796757837136,0.7090552945931752,0.14649902780850727,False
2678,2025-10-10 10:20:00,10,29.18,-0.030913375318050385,hold,0.05646553635597229,0.055794090032577515,0.0644028652459383,1.8792756078764796,0.3200822402723133,0.0644028652459383,False
2679,2025-10-10 10:25:00,10,29.86,-0.025090191513299942,hold,0.055794090032577515,0.05524912476539612,0.052271232319374875,1.5608189970565338,0.295332462604468,0.052271232319374875,False
2680,2025-10-10 10:30:00,10,29.45,-0.035142697393894196,hold,0.05524912476539612,0.05448581650853157,0.07321395290394624,2.1561509130212166,0.38364111321667815,0.07321395290394624,False
2681,2025-10-10 10:35:00,10,32.57,-0.001565735787153244,hold,0.05448581650853157,0.05445180833339691,0.0032619495565692582,0.10624169705746074,0.027269898292918995,0.0032619495565692582,False
2682,2025-10-10 10:40:00,10,34.17,-0.008402043953537941,hold,0.05445180833339691,0.05426931381225586,0.017504258236537375,0.5981205039424822,0.17434241203591228,0.017504258236537375,False
2683,2025-10-10 10:45:00,10,32.3,-0.025212306529283524,hold,0.05426931381225586,0.05372169613838196,0.05252563860267401,1.6965781268663702,0.42493241629563255,0.05252563860267401,False
2684,2025-10-10 10:50:00,10,31.09,-0.007215694058686495,hold,0.05372169613838196,0.05356496945023537,0.015032695955596864,0.4673665172595065,0.10342494817450641,0.015032695955596864,False
2685,2025-10-10 10:55:00,10,33.66,-0.02975618466734886,hold,0.05356496945023537,0.052918657660484314,0.061992051390310124,2.0866524497978385,0.5858248856384304,0.061992051390310124,False
2686,2025-10-10 11:00:00,11,33.49,-0.10169564187526703,discharge,0.052918657660484314,0.0507098026573658,0.21186592057347298,7.09538968000561,1.9661157429218294,0.21186592057347298,False
2687,2025-10-10 11:05:00,11,38.64,-0.03267926722764969,hold,0.0507098026573658,0.05000000074505806,0.06808180672427018,2.6306810118258,0.9824204710312187,0.06808180672427018,False
2688,2025-10-10 11:10:00,11,41.43,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2689,2025-10-10 11:15:00,11,42.83,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2690,2025-10-10 11:20:00,11,42.54,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2691,2025-10-10 11:25:00,11,42.36,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2692,2025-10-10 11:30:00,11,42.06,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2693,2025-10-10 11:35:00,11,42.5,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2694,2025-10-10 11:40:00,11,42.34,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2695,2025-10-10 11:45:00,11,42.39,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2696,2025-10-10 11:50:00,11,42.27,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2697,2025-10-10 11:55:00,11,49.44,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2698,2025-10-10 12:00:00,12,41.81,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2699,2025-10-10 12:05:00,12,41.79,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2700,2025-10-10 12:10:00,12,43.01,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2701,2025-10-10 12:15:00,12,42.19,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2702,2025-10-10 12:20:00,12,42.03,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2703,2025-10-10 12:25:00,12,43.56,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2704,2025-10-10 12:30:00,12,39.89,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2705,2025-10-10 12:35:00,12,38.4,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2706,2025-10-10 12:40:00,12,39.86,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2707,2025-10-10 12:45:00,12,41.15,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2708,2025-10-10 12:50:00,12,31.54,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2709,2025-10-10 12:55:00,12,28.88,0.0,hold,0.05000000074505806,0.05000000074505806,-0.0,-0.0,-0.0,0.0,False
2710,2025-10-10 13:00:00,13,29.78,0.19510102272033691,charge,0.05000000074505806,0.053898632526397705,-0.4064604640007019,-12.104392617940903,-2.2639847844839096,0.4064604640007019,False
2711,2025-10-10 13:05:00,13,31.87,0.16952255368232727,charge,0.053898632526397705,0.05728613957762718,-0.3531719868381818,-11.255591220532855,-2.7052974191804724,0.3531719868381818,False
2712,2025-10-10 13:10:00,13,28.25,0.16335053741931915,charge,0.05728613957762718,0.06055031344294548,-0.34031361962358153,-9.613859754366178,-1.374867023279269,0.34031361962358153,False
2713,2025-10-10 13:15:00,13,21.75,0.19471286237239838,charge,0.06055031344294548,0.06444118916988373,-0.4056517966091633,-8.822926576249301,0.997903419658542,0.4056517966091633,False
2714,2025-10-10 13:20:00,13,22.26,0.20189867913722992,charge,0.06444118916988373,0.06847565621137619,-0.42062224820256233,-9.363051244989038,0.8202133839949962,0.42062224820256233,False
2715,2025-10-10 13:25:00,13,20.89,0.20287629961967468,charge,0.06847565621137619,0.07252965867519379,-0.4226589575409889,-8.829345623031259,1.4032277390360834,0.4226589575409889,False
2716,2025-10-10 13:30:00,13,20.33,0.26054468750953674,charge,0.07252965867519379,0.0777360275387764,-0.5428014323115349,-11.035153118893502,2.1060695573687567,0.5428014323115349,False
2717,2025-10-10 13:35:00,13,20.17,0.2527718245983124,charge,0.0777360275387764,0.08278707414865494,-0.5266079679131508,-10.621682712808253,2.1274961903691287,0.5266079679131508,False
2718,2025-10-10 13:40:00,13,20.02,0.2543758451938629,charge,0.08278707414865494,0.08787017315626144,-0.5299496774872143,-10.609592543294031,2.2204891486714287,0.5299496774872143,False
2719,2025-10-10 13:45:00,13,19.46,0.25687655806541443,charge,0.08787017315626144,0.09300324320793152,-0.5351594959696133,-10.414203791568676,2.5420076058556633,0.5351594959696133,False
2720,2025-10-10 13:50:00,13,19.13,0.27646663784980774,charge,0.09300324320793152,0.09852777421474457,-0.5759721621870995,-11.018347462639213,2.925938583910466,0.5759721621870995,False
2721,2025-10-10 13:55:00,13,18.97,0.26038065552711487,charge,0.09852777421474457,0.10373086482286453,-0.5424596990148226,-10.290460490311185,2.8424888228376717,0.5424596990148226,False
2722,2025-10-10 14:00:00,14,20.5,0.6565691828727722,charge,0.10373086482286453,0.116850845515728,-1.3678524643182755,-28.040975518524647,5.074732642620803,1.3678524643182755,False
2723,2025-10-10 14:05:00,14,20.29,0.6782256364822388,charge,0.116850845515728,0.1304035782814026,-1.412970076004664,-28.66916284213463,5.538842697938285,1.412970076004664,False
2724,2025-10-10 14:10:00,14,19.74,0.6932153701782227,charge,0.1304035782814026,0.1442558467388153,-1.4441986878712971,-28.508482098579403,6.455568134784702,1.4441986878712971,False
2725,2025-10-10 14:15:00,14,19.6,0.7069289088249207,charge,0.1442558467388153,0.15838214755058289,-1.472768560051918,-28.866263777017597,6.789463061839341,1.472768560051918,False
2726,2025-10-10 14:20:00,14,19.29,0.702568769454956,charge,0.15838214755058289,0.17242132127285004,-1.4636849363644917,-28.234482422471043,7.201329886913301,1.4636849363644917,False
2727,2025-10-10 14:25:00,14,19.29,0.7147536277770996,charge,0.17242132127285004,0.18670397996902466,-1.4890700578689575,-28.72416141629219,7.326224684715274,1.4890700578689575,False
2728,2025-10-10 14:30:00,14,19.18,0.7151510715484619,charge,0.18670397996902466,0.2009945809841156,-1.4898980657259622,-28.576244900623955,7.494187270601591,1.4898980657259622,False
2729,2025-10-10 14:35:00,14,19.17,0.7182084918022156,charge,0.2009945809841156,0.21534627676010132,-1.4962676912546158,-28.683451641350988,7.541189163923263,1.4962676912546158,False
2730,2025-10-10 14:40:00,14,19.16,0.7111794352531433,charge,0.21534627676010132,0.22955751419067383,-1.4816238234440484,-28.38791245718797,7.4822003083924455,1.4816238234440484,False
2731,2025-10-10 14:45:00,14,18.83,0.7265767455101013,charge,0.22955751419067383,0.2440764307975769,-1.5137015531460443,-28.50300024574001,8.143714355925722,1.5137015531460443,False
2732,2025-10-10 14:50:00,14,18.94,0.7266752123832703,charge,0.2440764307975769,0.25859731435775757,-1.5139066924651463,-28.67339275528987,7.978288269291321,1.5139066924651463,False
2733,2025-10-10 14:55:00,14,18.96,0.7306349277496338,charge,0.25859731435775757,0.27319732308387756,-1.5221560994784036,-28.860079646110535,7.991319522261619,1.5221560994784036,False
2734,2025-10-10 15:00:00,15,20.0,0.7953248620033264,charge,0.27319732308387756,0.28909000754356384,-1.6569267958402634,-33.13853591680527,6.9756618104875106,1.6569267958402634,False
2735,2025-10-10 15:05:00,15,20.0,0.7906299233436584,charge,0.28909000754356384,0.30488887429237366,-1.6471456736326218,-32.942913472652435,6.934483285993339,1.6471456736326218,False
2736,2025-10-10 15:10:00,15,19.94,0.7934919595718384,charge,0.30488887429237366,0.32074493169784546,-1.6531082491079965,-32.962978487213455,7.058772223691144,1.6531082491079965,False
2737,2025-10-10 15:15:00,15,19.67,0.7933070659637451,charge,0.32074493169784546,0.3365972936153412,-1.6527230540911355,-32.50906247397264,7.5033626655737535,1.6527230540911355,False
